"path","month","hits"
"Blue_Ben","2017-06-01",240
"1911_Michigan_State_Normal_Normalites_football_season","2017-11-01",1
"Arctictis_binturong","2017-04-01",334
"Fornaldarsaga","2016-04-01",18
"Bibasis_gomata","2017-06-01",35
"Anna_Schchian","2017-06-01",19
"2005_in_Rwanda","2016-08-01",69
"Archaeology_in_ethiopia","2016-01-01",1
"23277_Benhughes","2016-12-01",2
"Bahrain_-_USA_relations","2017-06-01",1
"Dieter_Korn","2015-07-01",13
"Antidynamo_theorem","2016-10-01",222
"An_Jae-Won","2016-12-01",1
"Bruray","2015-07-01",82
"Gosport_Council_election,_2004","2017-01-01",2
"1856_in_South_Africa","2017-03-01",60
"Dialakoro,_Guinea","2017-01-01",1
"05-CV-1678","2016-02-01",1
"Allison,_Henry","2016-12-01",5
"Animal_house","2016-06-01",1399
"Alexander_Tabarrok","2017-03-01",5
"Chung-Ho_Memorial_Hospital","2017-06-01",50
"2013_Internazionali_Trofeo_Lame_Perrel-Faip_-_Doubles","2016-03-01",4
"1965_Speedway_World_Team_Cup","2017-11-01",13
"Alexander_Ollongren","2017-11-01",788
"Amore_traditore,_BWV_203","2016-06-01",83
"Arthur_William_Rogers","2015-10-01",31
"Ashoka_pillar","2017-02-01",265
"1_62_honeycomb","2018-02-01",10
"1926_Australasian_Championships","2016-05-01",47
"Export_award","2016-04-01",3
"5000_Days_Project","2016-07-01",75
"2012_UCI_Europe_Tour","2017-03-01",65
"1985_Toronto_Indoor_-_Singles","2015-08-01",4
"Cedar_Grove,_North_Carolina","2017-06-01",18
"Battle_of_The_Afsluitdijk","2016-04-01",15
"Arishtanemi","2017-03-01",7
"Alfalfa_bill_murray","2016-12-01",7
"Elisha_Jay_Edwards","2015-07-01",28
"Arturas_Paulauskas","2016-01-01",10
"Abdelrahman_Hamad","2015-09-01",2
"1948_in_Northern_Ireland","2015-07-01",29
"1988_in_philosophy","2015-05-01",70
"5-Hydroxytryptaminen","2016-01-01",4
"2017_FBS_season","2017-10-01",124
"Areeiro","2016-04-01",2
"Alemonides","2016-03-01",6
"Abrochia_caurensis","2016-10-01",1
"Anafylaxia","2018-01-01",2
"1938_Grand_National","2018-02-01",80
"China-Korea_Champions_League","2015-07-01",4
"Acetyl_bromide","2017-11-01",448
"24_hours_of_lemans","2015-05-01",37
"Albright_hereditary_osteodystrophy","2017-02-01",153
"Ashland_Bus_System","2015-08-01",115
"1,8-Cineole_2-endo-monooxygenase","2016-10-01",8
"2005-2006_NHL_Season","2015-11-01",6
"Cammie_Dunaway","2015-07-01",344
"D-Fish","2016-11-01",2
"4_sister_vineyard","2015-09-01",1
"Alessia_Cara_discography","2017-03-01",100
"Alexander_Berg","2017-08-01",63
"4822_Karge","2018-02-01",32
"Emile_Francis_Trophy","2017-01-01",8
"Amin_Ghaseminejad","2017-06-01",45
"Artichia","2017-09-01",19
"Cividale","2016-11-01",41
"2007_Orissa_Violence","2016-05-01",1
"Australian_Saltbush","2016-12-01",5
"Asian_Food_Channel","2016-09-01",727
"Camp_iawah","2015-07-01",1
"ATC_code_J01MA04","2017-11-01",1
"Arpad_Balazs","2017-10-01",2
"Angel_of_Music,_or_The_Private_Life_of_Giselle","2018-02-01",56
"1983_Torneo_di_Viareggio","2016-03-01",22
"Arellano_University","2017-09-01",1699
"ATC_code_B03AA","2017-11-01",1
"FS5000","2016-11-01",1
"Abd-Allah_ibn_Zubayr","2017-05-01",2
"1889_SAFA_season","2016-04-01",28
"Aloha_bowl_broadcasters","2015-05-01",2
"1994_All_England_Open_Badminton_Championships","2016-07-01",75
"Are_We_Not_Horses","2015-07-01",79
"Angiolo_Torchi","2018-02-01",5
"Chimanimani_National_Park","2017-06-01",37
"Art_manifesto","2017-09-01",2619
"Adrian_Apostol","2016-10-01",62
"Adventure_book","2015-10-01",14
"Albemarle_Bertie","2016-06-01",20
"Adam_Deibert","2017-08-01",611
"Alberta_association_of_architects","2017-10-01",2
"Alloschmidia","2017-11-01",15
"Administrative_department_of_security","2016-05-01",1
"Archdeaconry_of_Dudley","2017-07-01",19
"Ammayenna_Sthree","2015-12-01",38
"Aaron_Spelling","2016-05-01",25128
"Anatolian_hieroglyph","2016-07-01",308
"Central_University_of_Rajasthan","2016-11-01",323
"Annamanum_touzalini","2017-08-01",7
"Acleris_hispidana","2016-11-01",2
"Frisco_kid","2016-04-01",15
"Allerheiligenberg_monastery","2017-12-01",2
"Arctic_comb_jelly","2017-03-01",3
"279377_Lechmankiewicz","2016-06-01",1
"AEGON_Pro-Series_Loughborough","2018-02-01",7
"Firefly_Space_Systems","2017-01-01",235
"2000-01_Hong_Kong_League_Cup","2017-12-01",6
"British_supermarkets","2017-01-01",2
"A_description_of_New_England","2016-10-01",13
"Artificial_Flavoring","2016-06-01",2
"Anglican_bishop_of_the_Torres_people","2018-02-01",1
"Antonio_Diaz_Cardoso","2018-02-01",1
"Johan_Patriksson","2017-01-01",3
"Ashutosh_Morya","2017-07-01",1
"Iron_ore","2017-01-01",3682
"AT-16_Scallion","2015-08-01",594
"Data_analyst","2015-07-01",134
"Cabbageball","2016-04-01",3
"Acanthonyx_seriopuncta","2017-04-01",2
"Aegeria_ruficauda","2017-10-01",1
"Archibald_Douglas,_1st_Earl_of_Ormond","2016-06-01",100
"2014_European_Championships_in_Athletics","2017-01-01",3
"1Co-Co1","2017-08-01",77
"Arthur_Abba_Goldberg","2015-10-01",2
"Ameri-Cana_Ultralights","2015-05-01",33
"1979_British_Formula_One_season","2015-12-01",218
"American_colonial_history","2016-06-01",6
"Arcadia_Martin_Wesay_Toe","2015-06-01",73
"Adam_Ornstein","2017-08-01",2
"Archive_of_Modern_Conflict","2016-12-01",307
"Ciro_Urriola","2015-07-01",12
"Acanthosyris","2015-12-01",53
"Eriopyga_jamaicensis","2015-07-01",1
"10th_parallel_north","2016-06-01",1412
"Derek_Almond","2017-01-01",2
"Jaimanglapur","2017-01-01",4
"Aphroditeola_olida","2018-02-01",6
"18th_dynasty_of_egypt","2017-06-01",2
"Ali_ben_Ahmed","2016-08-01",62
"Ashkur_Mahalleh","2018-02-01",8
"Adolf_Mosengel","2017-02-01",54
"1838_Safed_pogrom","2016-02-01",1
"1829_in_architecture","2017-05-01",24
"Arcones,_Segovia","2016-05-01",3
"Albert_Smith_Medal","2018-02-01",30
"Arqanqergen_mass_murder","2015-10-01",60
"Jaan_Usin","2017-01-01",4
"2009_Bangladesh_Rifles_revolt","2016-03-01",269
"-coltore","2015-11-01",9
"Ernest_Makins","2017-01-01",10
"Amsterdam_Bijlmer_Arena","2016-07-01",87
"Apostolic_assemblies_of_christ","2018-01-01",1
"Abirabad,_Razavi_Khorasan","2015-08-01",26
"2016_All-Ireland_Senior_Football_Championship","2015-10-01",883
"Asylum_seeking","2016-06-01",36
"56th_parallel","2015-07-01",12
"Junior_roller_derby","2017-01-01",19
"Ana_Goncalves","2016-03-01",2
"Alekseevskiy_Raion","2017-11-01",1
"2009_Vietnam_national_football_team_results","2017-07-01",15
"Chicago,_Burlington_and_Quincy_Railroad_Depot","2017-01-01",2
"Fox_Valley_Conference","2016-04-01",84
"Brachioplasty","2017-06-01",304
"Arnold_Doren","2017-06-01",11
"All_Ireland_mandolin_Champion","2015-07-01",2
"Deborah_Rennard","2016-04-01",814
"Anthony_Macdonnell","2016-02-01",2
"Azerbaijan_Pakistan_relations","2017-01-01",1
"A_Girl_Named_Zippy","2018-03-01",346
"Academic_OneFile","2018-02-01",109
"East_Point_Academy","2017-01-01",48
"2011_Italian_Figure_Skating_Championships","2017-03-01",47
"Chen_Qiao_En","2016-04-01",52
"Canobie_lake","2016-04-01",1
"Andrei_Arlashin","2017-11-01",13
"Again_Into_Eyes","2017-12-01",54
"Andropogon_curtipendulus","2018-02-01",1
"Abbath","2016-05-01",927
"Alien_Opponent","2016-05-01",160
"Art_of_Love","2016-02-01",3
"Ariana_Huffington","2017-05-01",84
"Amy_Poehler","2016-04-01",62732
"Cherven,_Rousse_Province","2015-07-01",2
"1_Month_2_Live","2018-03-01",306
"Country_Day_School_of_the_Sacred_Heart","2017-06-01",132
"Cooperative_institute_for_arctic_research","2015-07-01",2
"Depression_symptoms","2017-01-01",7
"Brent_Skoda","2016-04-01",31
"American_Christians","2016-12-01",10
"Counterbleed","2017-01-01",1
"Abarka","2016-05-01",325
"Aleksander_Povetkin","2017-02-01",89
"Austin_TX","2016-03-01",119
"Aleksandr_Tretyakov","2017-01-01",40
"Connecticut_congressional_districts","2016-11-01",3
"Alessio_de_Marchis","2015-10-01",66
"Capel_Salem,_Pwllheli","2016-04-01",6
"5-alpha_reductase_deficiency","2016-10-01",30
"Annabelle_Croft","2016-01-01",32
"Aeronca_Aircraft_Corporation","2017-05-01",9
"1597_in_Scotland","2016-07-01",18
"Alf_Somerfield","2017-11-01",10
"Agapanthia_villosoviridescens","2018-02-01",53
"Adam_Goldberg","2015-12-01",42338
"1961_Paris_massacre","2017-01-01",52
"2007_in_radio","2017-04-01",131
"Arthur_French,_5th_Baron_de_Freyne","2015-12-01",44
"AMD_Socket_G3","2017-04-01",121
"Albert_geouffre_de_lapradelle","2016-02-01",1
"Collaborations_between_ex-Beatles","2015-07-01",1279
"Betty_Ireland","2016-04-01",40
"Domingo_Tirado_Benedi","2015-07-01",1
"Bac_Ly","2016-04-01",1
"All_gas-phase_iodine_laser","2015-07-01",136
"Andre_Salifou","2017-01-01",1
"1,3-b-D-glucan","2017-05-01",2
"Joseph_Johnston_Muir","2017-01-01",3
"17th_of_Shahrivar_league","2016-05-01",63
"2001_in_art","2018-03-01",131
"Abiji_language","2017-10-01",6
"Ahliah_school","2018-03-01",133
"1605_in_India","2017-12-01",83
"Dr_Jeom_Kee_Paik","2015-07-01",1
"1954_Texas_Longhorns_football_team","2018-01-01",69
"1985_Little_League_World_Series","2016-07-01",226
"Eleanor_de_bohun","2015-07-01",1
"Adrenaline_strength","2016-03-01",8
"434_BC","2018-02-01",97
"8x60mm_S","2015-06-01",61
"2016-17_South_Pacific_cyclone_season","2017-09-01",101
"Beth_Aala","2017-06-01",15
"Al_Shaver","2017-07-01",138
"Adelphoi_Zangaki","2018-01-01",89
"Cyclopropyl_group","2016-11-01",167
"216_Sqn","2017-08-01",11
"20469_Dudleymoore","2017-05-01",5
"Attila_Hildmann","2017-06-01",103
"1970_Arkansas_Razorbacks_football_team","2016-11-01",66
"Anthony_Fairfax","2017-08-01",24
"Fort_Point,_Boston","2016-04-01",384
"Epsilon_numbers","2016-04-01",3
"2013_Recopa_Sudamericana","2016-05-01",202
"Italo_Disco","2017-01-01",27
"Andersen_Press","2015-09-01",228
"Amasa_Walker","2017-09-01",146
"2010_in_Israeli_film","2015-09-01",234
"A-25_Shrike","2017-12-01",90
"2009_Winnipeg_Blue_Bombers_season","2017-06-01",66
"Ashland_County,_Ohio","2016-10-01",1298
"Dusky_Turtle_Dove","2017-01-01",3
"Antonov_148","2017-02-01",129
"Abdul_Hamid_Lahori","2017-08-01",458
"Amadeo_of_Spain","2015-11-01",1701
"2015_Novak_Djokovic_tennis_season","2017-07-01",2484
"Dhabawallah","2016-04-01",4
"Afshar_Beylik","2017-06-01",4
"1998_ATP_Tour_World_Championships_-_Singles","2017-03-01",20
"Beach_Haven_Terrace,_New_Jersey","2016-11-01",4
"Aix-la_Chapelle","2018-03-01",66
"Ackerman,_Val","2017-05-01",2
"47th_Ohio_Infantry","2016-12-01",59
"100_People,_100_Songs","2017-11-01",517
"2007_Masters_of_Formula_3","2016-01-01",63
"1832_US_presidential_election","2016-05-01",6
"Aaron_Baker","2016-05-01",113
"2015-16_FIBA_Europe_Club_Competition","2017-11-01",2
"Alebra","2018-02-01",27
"Asilus_crabroniformis","2016-11-01",4
"Earth_and_Air_and_Rain","2016-11-01",31
"2014_Stade_Tata_Raphael_disaster","2018-02-01",1
"Alexander_Izvolski","2017-01-01",7
"Fabric_17","2017-01-01",13
"1925_Campeonato_de_Portugal_Final","2018-01-01",37
"1948_Ashes_series","2017-01-01",121
"Abraham_ben_david","2016-09-01",4
"2006_Acropolis_Rally","2017-01-01",12
"Alottment","2017-03-01",6
"Angolanness","2015-07-01",11
"2002_in_NASCAR_Craftsman_Truck_Series","2016-01-01",12
"Aces_of_ANSI_Art","2015-08-01",77
"Alan_Tskhovrebov","2015-08-01",13
"Aegis_Security","2015-10-01",1
"Alec_the_Great","2015-05-01",69
"Corel_SnapFire","2016-11-01",9
"AbdulMagid_Breish","2016-03-01",276
"A_Night_in_NYC","2015-10-01",232
"79th_parallel_south","2016-11-01",17
"Alphonse_Crespo","2016-06-01",50
"Acacia_petite_feuille","2016-05-01",1
"Amstrad_464","2017-12-01",18
"Charles_County,_Maryland","2017-06-01",2079
"1972_outbreak_of_smallpox_in_Yugoslavia","2018-03-01",375
"Alungili","2017-09-01",37
"Brontispalaelaps_froggatti","2016-04-01",1
"Alison_Lacey","2016-12-01",94
"Alessandro_Capra","2017-07-01",21
"2012_UCF_Knights_baseball_team","2016-08-01",46
"16_Candles_Down_the_Drain","2017-05-01",2
"Anandra_strandi","2015-08-01",11
"Brigitte_Rohde","2017-01-01",9
"Agenda_VR3","2015-09-01",93
"1641_in_architecture","2015-11-01",32
"ALF_Tales","2016-04-01",280
"A_Woman_Scorned","2015-07-01",164
"Air-free_techniques","2016-04-01",5
"1973_in_British_television","2016-04-01",96
"All_Saints_Cemetery","2017-04-01",345
"1981_in_Swedish_football","2016-06-01",21
"Apple_Dictionary","2016-10-01",19
"2015_PBZ_Zagreb_Indoors","2016-08-01",121
"16th_IIFA_Awards","2017-02-01",1194
"Duki,_Pakistan","2016-04-01",14
"Administration_of_Borderchek_points,_Population_and_Immigration","2015-09-01",2
"Alonia,_Zante","2017-10-01",1
"African_United_Club","2017-10-01",50
"Burjanadze-Democrats","2016-04-01",19
"Application_software_development","2015-06-01",27
"Almonacid_de_la_Sierra,_Zaragoza","2015-06-01",1
"Baissour","2016-12-01",100
"Coti_Sorokin","2016-04-01",46
"Alberta_and_Great_Waterways_Railway_scandal","2017-05-01",70
"1942_Alabama_Crimson_Tide_football_team","2015-09-01",144
"Adam_Art_Gallery","2016-08-01",80
"Akshinski_Raion","2016-09-01",1
"Edwin_of_Deira","2015-07-01",34
"Altaf_Mahmud","2015-10-01",245
"Astana_cycling_team","2017-12-01",7
"1982_CART_World_Series_season","2015-12-01",3
"3_Rotaxane","2017-03-01",1
"1924_Eastern_Suburbs_season","2015-08-01",32
"Downtown_Science","2016-11-01",6
"1993-94_Slovak_Cup","2017-04-01",1
"Brandon_Wayne_Hedrick","2016-04-01",32
"2015_Brasil_Open","2016-01-01",403
"Aung_Pinle_Hsinbyushin","2016-02-01",69
"An_Numaniyah","2016-06-01",185
"24th_Arkansas_Infantry_Regiment","2016-03-01",64
"Adimchinobe_Echemandu","2017-05-01",90
"August_Belmont,_Jr","2017-06-01",8
"Empacher","2016-11-01",102
"Abdulkadir_Sheikh_Dini","2017-01-01",70
"Alvaro_Quiros","2017-08-01",12
"Algernon_May","2017-11-01",35
"Athol_Shmith","2016-02-01",188
"2004_Indesit_ATP_Milan_Indoor_-_Doubles","2015-09-01",1
"Alfred_Dennis","2016-11-01",9
"2nd_Medical_Battalion","2017-05-01",380
"Atom_clocks","2016-03-01",12
"368th_Expeditionary_Air_Support_Operations_Group","2015-06-01",48
"1911_Washington_Senators_season","2017-06-01",46
"1963_Night_Series_Cup","2015-07-01",26
"Aromobates_capurinensis","2017-12-01",21
"2013-14_Super_Lig","2017-05-01",14
"Al_taglio","2016-09-01",2
"2015_RBC_Tennis_Championships_of_Dallas","2016-04-01",18
"2011_Mirabella_Cup","2017-11-01",15
"1996_NHL_Western_Conference_Final","2015-06-01",1
"2009_Formula_Nippon_Championship","2016-11-01",44
"Information_security_awareness","2017-01-01",56
"A_Noiseless_Patient_Spider","2018-03-01",757
"Aggregate_field_theory","2017-06-01",3
"Armenians_in_Central_Asia","2015-10-01",351
"Acona,_Mississippi","2017-10-01",33
"Apozomus","2017-12-01",19
"Antwun_Echols","2016-11-01",87
"1949_Albanian_Cup","2016-11-01",11
"Aesychlus","2016-10-01",4
"1961_Pulitzer_Prize","2015-09-01",879
"East_Midlands_Conference_Centre","2016-04-01",13
"Blumen","2016-11-01",11
